timestamp,model,scenario,input_name,input_tokens,output_tokens,total_cost_usd
2026-03-09 15:39:29,openrouter/free,Length_of_input_text,rc11_t4.json,394,827,0
2026-03-09 15:42:09,anthropic/claude-sonnet-4.5,Variety_of_prompts,rc14_t1,563,736,0.012729
2026-03-09 15:42:27,anthropic/claude-sonnet-4.5,Variety_of_prompts,rc14_t2,590,839,0.014355
2026-03-09 15:42:45,anthropic/claude-sonnet-4.5,Variety_of_prompts,rc14_t3,653,839,0.014544
2026-03-09 15:43:28,anthropic/claude-sonnet-4.5,Variety_of_prompts,rc14_t4,819,919,0.016242
2026-03-09 15:44:32,anthropic/claude-sonnet-4.5,Variety_of_prompts,rc14_t5,1023,765,0.014544
2026-03-09 15:45:09,anthropic/claude-sonnet-4.5,Variety_of_prompts,rc34_t1,1259,2072,0.034857
2026-03-09 15:45:48,anthropic/claude-sonnet-4.5,Variety_of_prompts,rc34_t2,1286,1968,0.033378
2026-03-09 15:46:43,anthropic/claude-sonnet-4.5,Variety_of_prompts,rc34_t3,1349,2232,0.037527
2026-03-09 15:53:15,anthropic/claude-sonnet-4.5,Variety_of_prompts,rc34_t4,1515,2212,0.037725
2026-03-09 15:54:03,anthropic/claude-sonnet-4.5,Variety_of_prompts,rc34_t5,1719,1556,0.028497
2026-03-09 15:54:55,anthropic/claude-sonnet-4.5,Variety_of_prompts,rc78_t1,2151,2115,0.038178
2026-03-09 15:57:25,anthropic/claude-sonnet-4.5,Variety_of_prompts,rc78_t2,2178,2758,0.047904
2026-03-09 15:58:25,anthropic/claude-sonnet-4.5,Variety_of_prompts,rc78_t3,2241,2807,0.048828
2026-03-09 15:59:41,anthropic/claude-sonnet-4.5,Variety_of_prompts,rc78_t4,2407,2751,0.048486
2026-03-09 16:01:58,anthropic/claude-sonnet-4.5,Variety_of_prompts,rc78_t5,2611,2449,0.044568
2026-03-09 16:04:14,deepseek/deepseek-v3.2,Variety_of_prompts,rc14_t1,499,712,0.000419031
2026-03-09 16:07:45,deepseek/deepseek-v3.2,Variety_of_prompts,rc14_t2,526,762,0.0004363
2026-03-09 16:09:05,deepseek/deepseek-v3.2,Variety_of_prompts,rc14_t3,582,733,0.000449758
2026-03-09 16:09:36,deepseek/deepseek-v3.2,Variety_of_prompts,rc14_t4,733,718,0.000484377
2026-03-09 16:09:51,deepseek/deepseek-v3.2,Variety_of_prompts,rc14_t5,919,684,0.00166376
